Company,Link,Logo,Pitch,Joined,Location,Market,Website,Employees,Stage,Funding Raised
Kenya Green Supply,https://angel.co/company/kenya-green-supply,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/1185679-775c6cb8c2b134f1b1d674f57a85f6c5-medium_jpg.jpg?buster=1465830104",Solar Home System Manufacturer,Jun ’16,Nairobi,Clean Technology IT,kenyagreensupply.com,-,-,-
Taste of Kenya,https://angel.co/company/taste-of-kenya,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/1406831-41d54a43fa63a2ffab4b0b174f770f53-medium_jpg.jpg?buster=1468527598",Simplifying the Kenyan Coffee Supply Chain,Jul ’16,Dublin,Coffee,kenyancoffee.ie,1-10,-,-
Flare,https://angel.co/company/flare-8,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/3341291-af5439f45d4725122e8f437f94cb192a-medium_jpg.jpg?buster=1527071765",Emergency Healthcare for the Modern World,Jan ’17,Nairobi,Mobile Health,capsule.co.ke,1-10,-,-
Kenya Green Supply Ltd.,https://angel.co/company/kenya-green-supply-ltd-1,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/3554490-e4171f48748fa5867a82652153f1f9aa-medium_jpg.jpg?buster=1486050223",Solar Home Systems for Rural Families,Feb ’17,Nairobi,Rural Energy,kenyagreensupply.com,,-,-
Innovation Kenya,https://angel.co/company/innovationkenya,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/3649496-9df35125dbdb788404d79eaca4d8455b-medium_jpg.jpg?buster=1487264155",Catalyzing the growth of East Africa's Silicon Savannah,Feb ’17,Nairobi,Technology,innovationkenya.org,,-,-
White Web Kenya,https://angel.co/company/whitewebkenya,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/4320005-77b1e262b594be19cfc29587ba6468e5-medium_jpg.jpg?buster=1499014204",,Jul ’17,Nairobi,Technology,whitewebkenya.com,1-10,-,-
Sote Logistics,https://angel.co/company/sote-logistics,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/4443036-0a5496c48d7de1fd1a14b96df86c99ae-medium_jpg.jpg?buster=1501456756",Sote is a digital broker for logistics services across Africa,Jul ’17,San Francisco,Supply Chain Management,getsote.com,1-10,,"$150,000"
argura,https://angel.co/company/argura,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/146638-8a59e379c613796e50c4a4441444389d-medium_jpg.jpg?buster=1446219969",Cost effective web development solutions for African SMBs,Dec ’12,Nairobi,Mobile Commerce,argura.co,1-10,-,-
M-Changa,https://angel.co/company/m-changa,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/225194-43eb285a10e875151c6bc78620f9a7a0-medium_jpg.jpg?buster=1371723576",Uniquely African CrowdFunding Platform,Dec ’13,Nairobi,Mobile Commerce,changa.co.ke,1-10,-,-
INFINITY SPACE,https://angel.co/company/infinity-space,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/278851-7c5ea6e8b82248484763f6d5ae364e7e-medium_jpg.jpg?buster=1434540698","Accept cash and all the mobile payments in Africa. One API, all of them on your website.",Nov ’13,Marseille,Mobile Payments,infinityspace.fr,1-10,-,-
SokoText,https://angel.co/company/sokotext,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/284669-6ee6c0a3f16d34b776667621ea5155c5-medium_jpg.jpg?buster=1390825761",Group buying for the next billion,Jan ’14,Nairobi,Emerging Markets,sokotext.com,1-10,-,-
Sendy,https://angel.co/company/sendy,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/489254-a09d69647059a6f5344d0d3d1a9de577-medium_jpg.jpg?buster=1458213877",Formalizing African Logistics,Sep ’14,Kampala,Postal and Courier Services,sendyit.com,51-200,-,-
aKoma,https://angel.co/company/akoma,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/684500-d5b473bdeae3670c049586562ef601cd-medium_jpg.jpg?buster=1438818583",Africa's Premier Storytelling and Content Platform,Apr ’15,Nairobi,Content,akomanet.com,1-10,-,-
SuperFluid Labs,https://angel.co/company/superfluid-labs-1,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/745117-77027cde6fe59e08abfb123b3e477fb9-medium_jpg.jpg?buster=1439783001",Mint meets Palantir for Africa,Jun ’15,Nairobi,Commerce,superfluid.io,1-10,-,-
PowerGen Renewable Energy,https://angel.co/company/powergen-renewable-energy,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/842359-b07a43a9e7072ec8aa9ef25c63a4d091-medium_jpg.jpg?buster=1442587562",Pioneering electricity service in Sub Saharan Africa,Sep ’15,Nairobi,Emerging Markets,powergen-re.com,11-50,-,-
Lynk,https://angel.co/company/lynk-3,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/929346-56d124eac92045778e14d70fcaea25f9-medium_jpg.jpg?buster=1448879111","Find, Screen, and Book Professionals",Nov ’15,Nairobi,Emerging Markets,Lynk.co.ke,,-,-
ConnectMed,https://angel.co/company/connectmed,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/952783-222cad03073273b2ef5e6dac740f55de-medium_jpg.jpg?buster=1534531200",Digital Therapeutics for Africa,Dec ’15,Nairobi,Mobile Health,connectmed.co.ke,11-50,-,-
Yakutti,https://angel.co/company/yakutti,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/981979-25933256e181a70c2165f2003166fd57-medium_jpg.jpg?buster=1454947087",A storytelling marketplace for impact-driven brands,Feb ’16,Boston,Jewelry,yakutti.com,1-10,,"$15,000"
Takamoto Biogas,https://angel.co/company/takamoto-biogas-1,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/1044224-e996460e8bafe7bc3a5b5631aef83cc5-medium_jpg.jpg?buster=1457240454",Biofuel from farm waste,May ’17,Nairobi,Financial Services,takamotobiogas.com,-,-,-
Annona,https://angel.co/company/annona_co,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/1050065-ac47d425dd7535ea9ae36f390acf73cf-medium_jpg.jpg?buster=1500465917",Global Supply Chain Management Software,Jul ’17,Nairobi,Mobile Commerce,annona.co,1-10,-,-
Education Global Access Program,https://angel.co/company/education-global-access-program-1,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/1172601-d7aacf2f65efb72e7ca9938cc0612845-medium_jpg.jpg?buster=1465325218",A global nonprofit that trains teachers in conflict zones and areas of extreme poverty,Jun ’16,Nairobi,Teachers,Education-Gap.com,,Series A,"$50,000"
Olivine Technology,https://angel.co/company/olivine-technology,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/1199617-67a41bd4bc3d30aca4894097a1b091fa-medium_jpg.jpg?buster=1466149867",1st FMCG B2B m-commerce platform,Jun ’16,Nairobi,B2B,olivinetech.com,1-10,Seed,"$60,000"
Sokowatch,https://angel.co/company/sokowatch,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/1557140-71645a1f508f43535b3d05fee72a5f12-medium_jpg.jpg?buster=1497908496",On-demand inventory for emerging market retailers,Jun ’17,San Francisco,Logistics,sokowatch.com,11-50,-,-
Flare,https://angel.co/company/flare-7,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/3285650-4c7b20cb2f0ade0a8f3e56451f7b8b72-medium_jpg.jpg?buster=1482299722",We are building the first integrated emergency response system for Africa,Dec ’16,Nairobi,Mobile Health,flare.co.ke,1-10,-,-
The Pearl Dream,https://angel.co/company/dreamgalaxy,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/4187814-5270b9566eb9bc21c808ecd19541a0b3-medium_jpg.jpg?buster=1496097822",A global streaming platform for multicultural content from around the world.,May ’17,Nairobi,Education Technology,wedreamafrica.com,1-10,-,-
Nivi,https://angel.co/company/asknivi,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/4317053-fd7756ba1cb9178cdb482083ff30bc18-medium_jpg.jpg?buster=1527878107",Data to empower women's health,May ’18,Boston,Women-Focused,nivi.io,1-10,-,-
Storage Central,https://angel.co/company/storage-central,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/4386739-4b35607bd69a140abe4873d6040f603c-medium_jpg.jpg?buster=1500379029",First self-storage company in East Africa,Jul ’17,Nairobi,East Africa,nicholas-sadron-aw8l.squarespace.com,,-,-
Jooist,https://angel.co/company/jooist,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/166263-b0579ef47927bf6948250c2118386917-medium_jpg.jpg?buster=1360321827",World's first social gaming network for feature phones,Mar ’13,Nairobi,Mobile Games,jooist.com,1-10,-,-
BookNow,https://angel.co/company/booknow,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/273253-e2f590a26372b329be671c509252575b-medium_jpg.jpg?buster=1380621506",Bus Tickets Online,Oct ’13,Nairobi,Ticketing,booknow.co.ke,-,Seed,"$15,000"
Yum Kenya,https://angel.co/company/yum-kenya-1,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/273345-1aaca3b1f9012c9ce8f845f6210f1642-medium_jpg.jpg?buster=1380635466",Nairobi's premier online food ordering service.,Oct ’13,Nairobi,Postal and Courier Services,yum.co.ke,1-10,-,-
SiftDeck,https://angel.co/company/siftdeck,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/274822-3d9f11833d1440e53d32df6d2ab7118a-medium_jpg.jpg?buster=1380801133",Social Media Monitoring and Risk Analytics,Oct ’13,Nairobi,Insurance,siftdeck.com,1-10,-,-
Uber Duka,https://angel.co/company/uber-duka,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/310994-bdbdfbe21ea31148b878efd80f16efc6-medium_jpg.jpg?buster=1428587508","A community marketplace for art, crafts and designs from Africa",Aug ’14,Nairobi,Curated Web,uberduka.com,1-10,Seed,"$31,000"
SokoText,https://angel.co/company/sokotext-1,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/320641-44e60f28f60186152497d88400495eae-medium_jpg.jpg?buster=1389295828",SMS Micro-Retail Platform,Jan ’14,Nairobi,Groceries,sokotext.com,1-10,-,-
FarmForce,https://angel.co/company/farmforce,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/399072-ec78fb269ec9259b0f7b6066905b46ff-medium_jpg.jpg?buster=1400178029",Integrated mobile platform to manage smallholder farming,May ’14,Basel,Agriculture,farmforce.com,-,-,-
Sprinkler Ads,https://angel.co/company/sprinkler-ads,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/489222-7dc7bde350069aadf9de4e63fbb1441c-medium_jpg.jpg?buster=1410940729",Value exchange;free WiFi after engaging with digital ads in emerging markets,Sep ’14,Nairobi,Mobile Advertising,sprinkler.co.ke,,-,-
TweakIt.io,https://angel.co/company/tweakit-io,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/612990-adc1b341ca4af1a95a1b5358ea114999-medium_jpg.jpg?buster=1424248560",Online Community for Makers,Feb ’15,Nairobi,Hardware,tweakit.io,-,-,-
Sprinkler Ads,https://angel.co/company/sprinkler-ads-1,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/628954-ecf9daa0a49f2dd7a92cd401f8bbb6a4-medium_jpg.jpg?buster=1425528982",Reward users with 'Free fast Wi-Fi' after viewing short ads on their smartphones,Mar ’15,Nairobi,Mobile Advertising,sprinkler.co.ke,1-10,-,-
Africabookings,https://angel.co/company/africabookings,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/661709-9b520b548e052e98416f30f711b5a60f-medium_jpg.jpg?buster=1428419937",Africa specific Hotel wholesaler and Booking engine.,Dec ’15,Harare,Hospitality,africabookings.com,1-10,,"$250,000"
Umati Capital,https://angel.co/company/umati-capital,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/720754-c76e23bd602b0d32d879e1f3f671ea26-medium_jpg.jpg?buster=1475397251",,Oct ’16,Nairobi,-,umaticapital.com,,-,-
Arifu,https://angel.co/company/arifu-kenya,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/830201-a1dff254161d7a28bc1ce69a43f7e1f1-medium_jpg.jpg?buster=1493723210",,Apr ’17,Nairobi,Technology,arifu.com,11-50,-,-
Buymore,https://angel.co/company/buymore-1,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/844883-f8b7ce38aa9696e4373e2b0ad6996cda-medium_jpg.jpg?buster=1442836602",We help young people save and manage their financial resources better.,Sep ’15,Nairobi,Financial Services,buymore.co.ke,-,-,-
Soko,https://angel.co/company/soko-3,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/1031433-dc5d11241f1bc8e7d44a0a5ba8aeb76a-medium_jpg.jpg?buster=1549324233","Ethical fashion brand, changing the fashion industry for good",Feb ’16,San Francisco,East Africa,shopsoko.com,51-200,-,-
Aspenn Global Mobility Consultants Kenya,https://angel.co/company/aspenn-global-mobility-consultants-kenya,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://angel.co/images/shared/nopic_startup.png",Preventing Expatriate Failure,Aug ’16,Nairobi,-,aspennglobal.com,1-10,-,-
Workstry,https://angel.co/company/workstry,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/3001378-5fbeab63a38c03cec4ad1ae6e7bfb367-medium_jpg.jpg?buster=1478194575",Online job search training and recruitment,Nov ’16,Nairobi,Training,workstry.com,1-10,-,-
Walletally,https://angel.co/company/walletally,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/3136128-c1318cb79846ae113da8b09b497331d3-medium_jpg.jpg?buster=1479234909",Our mission is to deliver the most accurate data and solutions to our users,Nov ’16,Nairobi,Personal Finance,walletally.com,,-,-
Enter Techke,https://angel.co/company/entertech-ke,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/3208896-d98e5c0af104e5b5d9bde80e5d7b3bcc-medium_jpg.jpg?buster=1480401733",Entertainment with one click,Nov ’16,Kenya,Social Media Platforms,entertechke.co.ke,1-10,-,-
LensShift,https://angel.co/company/lensshift,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/3856929-b3ba0b02f2c745f3c9213fdd62c925db-medium_jpg.jpg?buster=1490259815",a resource hub for responsible social impact work,Mar ’17,Nairobi,Humanitarian,lensshift.org,-,-,-
Manyatta Rent,https://angel.co/company/manyatta-rent,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/137154-4660d992d3453b6d4aca4ceafb8eec65-medium_jpg.jpg?buster=1362571118",Mobile Rent Payment Processing,Feb ’13,Nairobi,Mobile Payments,manyattarent.com,1-10,,"$82,000"
CleanStar Ventures,https://angel.co/company/cleanstar-ventures,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/147630-db599a2978794f02762f1e948a1d36cc-medium_jpg.jpg?buster=1355762561",,Dec ’12,Nairobi,East Africa,cleanstarventures.com,1-10,-,-
Ma3Route,https://angel.co/company/ma3route,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/274133-dbb68ddb87cbd91f28a10f1c913b83f7-medium_jpg.jpg?buster=1458136250",A crowdsourcing technology platform solving mobility issues in emerging cities,Nov ’15,Nairobi,Crowdsourcing,ma3route.com,1-10,-,-
Tanasuk Technologies Africa,https://angel.co/company/tanasuk-technologies-africa,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/274165-bfa519b72d355a5d880444bbaae5ed70-medium_jpg.jpg?buster=1380703569",,Oct ’13,Nairobi,Web CMS,tanasuk.com,11-50,-,-
Futaa,https://angel.co/company/futaa-1,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/274801-e5ebd32bf749f165efa1b732c9c637e4-medium_jpg.jpg?buster=1380797415","The number one news source for football in Kenya,Uganda and Nigeria.",Oct ’13,Nairobi,East Africa,futaa.com,-,-,-
Gamsole,https://angel.co/company/gamsole,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/274814-9fbd67705637e45a80b5d6f0f57726e9-medium_jpg.jpg?buster=1380800042",African based mobile game production company,Oct ’13,Nairobi,East Africa,gamsole.com,1-10,-,-
ClickOval,https://angel.co/company/clickoval,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/377531-ce65f5d004b4936c9c2ee066b56d8570-medium_jpg.jpg?buster=1397132182",Better comparison shopping (Foursquare and M-pesa),Apr ’14,Nairobi,Financial Services,ClickOval.com,1-10,-,-
Simhela Co.,https://angel.co/company/simhela-co,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/394195-c2ff5255e381062524689133a02b62d9-medium_jpg.jpg?buster=1399487056",Youtube for Services,May ’14,Nairobi,Big Data Analytics,simhela.com,1-10,-,-
E-Coach Solutions,https://angel.co/company/ecoach-solutions,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/498409-77859d3b65d67fba4d897a05cfa90168-medium_jpg.jpg?buster=1441292566",making excellence possible,Aug ’15,Accra,E-Books,ecoachsolutions.com,11-50,-,-
Byt,https://angel.co/company/byt,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/516891-f8e5bba904d0d19192aaae3af876308f-medium_jpg.jpg?buster=1413978860",Buy bitcoins with mobile money in Kenya,Oct ’14,Nairobi,Bitcoin Exchange,infinity-two.com,,-,-
Pesaply,https://angel.co/company/pesaply-1,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/552389-9f902882edb45bad034f41176ed67d8b-medium_jpg.jpg?buster=1499819471",Mobile Payment Gateway,Dec ’14,Tanzania,Small and Medium Businesses,pesaply.com,1-10,-,-
Esoko,https://angel.co/company/esoko-1,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/587007-1c82025180e3eb8b54387538429d8281-medium_jpg.jpg?buster=1421949878",Powerful communication with small-holder farmers.,Jan ’15,Nairobi,Farming,esoko.com,-,-,-
Miatano,https://angel.co/company/miatano,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/672721-1de81f05908b230560624a0d7c5ebb3e-medium_jpg.jpg?buster=1429351150",Freelancer market place for africa,Apr ’15,Kenya,Marketplaces,miatano.com,,-,-
Kuhustle,https://angel.co/company/kuhustle,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/685846-46174af4c2f3e79beaa9a63c507686ea-medium_jpg.jpg?buster=1464335507",Kuhustle connects you with an expert for short term work.,Sep ’15,Lagos,East Africa,kuhustle.com,1-10,-,-
Pythias Labs,https://angel.co/company/pythias_io,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/690949-f6fe6b12fd593683a04708f012824519-medium_jpg.jpg?buster=1495188481",Mobile service delivery on messaging,May ’15,Nairobi,Fin Tech,pythias.io,1-10,-,-
Simplex Point,https://angel.co/company/simplex-point-1,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/691207-1bded645df0daf4f20edcfdb2ae65d58-medium_jpg.jpg?buster=1430944176",Buy-sell-deliver mobile commerce platform,May ’15,Nairobi,Mobile Commerce,corporate.simplexpoint.com,1-10,-,-
iNuka Pap,https://angel.co/company/inuka-pap,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/920227-671be074136d147363a06244506dfd38-medium_jpg.jpg?buster=1448037691",A mobile app providing savings and credit services.,Nov ’15,Nairobi,Fin Tech,inukapap.co.ke,1-10,Seed,"$30,000"
Changa Labs,https://angel.co/company/changa-labs,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/1080254-2783f3c3c030124a6c1b81f626c27e0b-medium_jpg.jpg?buster=1459736514",Mobile crowdfunding for the bottom billion.,Apr ’16,Nairobi,Mobile Payments,changalabs.org,-,-,-
Lori Systems,https://angel.co/company/lori-systems,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/2051147-8b87b989301374c82ee946756d9cd1e8-medium_jpg.jpg?buster=1493891867",Lori - Fixing Logistics in Africa,Aug ’16,Cambridge,Logistics,lorisystems.com,,Seed,-
Apollo Agriculture,https://angel.co/company/apollo-agriculture,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/4026913-9fbffb94f8cadb1dbcd2c4b43f00075a-medium_jpg.jpg?buster=1492681668",Our mission is to deliver modern farming everywhere,Apr ’17,Amsterdam,Agriculture,apolloagriculture.com,51-200,-,-
Buni Media,https://angel.co/company/buni-media,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/99787-8832341201161fb060264552be250922-medium_jpg.jpg?buster=1408652349",Innovative African MultiMedia Company,Jun ’12,Nairobi,-,bunimedia.com,,-,-
SasaLog,https://angel.co/company/sasalog,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/111356-eee02cf5d09ef04b7b03a742d1533ff5-medium_jpg.jpg?buster=1344268030",POS solutions for the Africa,Jun ’13,Nairobi,B2B,sasalog.com,1-10,Seed,"$80,000"
SunCulture,https://angel.co/company/sunculture,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/136013-3f1513ef8b63c1f57a46ae6629362431-medium_jpg.jpg?buster=1352441269",Transforming Agriculture,Nov ’12,Nairobi,East Africa,SunCulture.com,-,-,-
CIO East Africa,https://angel.co/company/cio-east-africa,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/157844-e18da6280e4d0202904d4e4e4142f121-medium_jpg.jpg?buster=1449781100",,Jan ’13,Nairobi,-,cio.co.ke,11-50,-,-
Harrysons,https://angel.co/company/harrysons,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/224814-30cf9efe3cc57fecf0b2a4f97da07055-medium_jpg.jpg?buster=1371644052",We provide eMarketing Consultancy with a Difference,Jun ’13,Nairobi,Financial Services,harrysons.org,-,-,-
iCASH,https://angel.co/company/icash,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/231242-42762b6865056c8e5fac31e355bad87a-medium_jpg.jpg?buster=1381213100",Futuristic Money,Oct ’13,Nairobi,Mobile Commerce,Website,1-10,-,-
Kytabu,https://angel.co/company/kytabu,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/286157-248f6e09a7893242e8a5979e20959c19-medium_jpg.jpg?buster=1382906347",Micro leasing textbooks on mobile-money.,Oct ’13,Nairobi,Educational Games,kytabu.org,1-10,-,-
AdShelf,https://angel.co/company/adshelf,"https://angel.co/cdn-cgi/image/width=60,height=60,format=auto,fit=scale-down/https://d1qb2nb5cznatu.cloudfront.net/startups/i/353098-4c207fb25683a69b3d578d977e00c140-medium_jpg.jpg?buster=1393846985",Flipboard for mobile adverts,Mar ’14,Nairobi,Mobile Advertising,bitcypher.co.ke,1-10,,$500
