JobTitle,Description,Company,Job Link,Industry,Employment Type,Location,Compensation,Date posted
Technical Account Manager (Postgrad Degree Ess)," 									About the Client:
									
									A top international company, with head offices in the UK and USA, this organisation is focussed on leading edge problem solving. Proven ability to find solutions to problems is essential combined with a str...",Parvana,https://www.careers24.com/jobs/adverts/1628592-technical-account-manager-postgrad-degree-ess-cape-town/?jobindex=11,"IT, Technology, Technical",Permanent,Cape Town,Market Related (Negotiable),2019-11-15
Technical Account Manager (Postgrad Degree Ess)," 									About the Client:
									
									A top international company, with head offices in the UK and USA, this organisation is focussed on leading edge problem solving. Proven ability to find solutions to problems is essential combined with a str...",Parvana,https://www.careers24.com/jobs/adverts/1628591-technical-account-manager-postgrad-degree-ess-johannesburg/?jobindex=12,"IT, Technology, Technical",Permanent,Johannesburg,Market Related (Negotiable),2019-11-15
Tech Lead (Python)," 									About the Client:
									
									Fortunately for us, our wonderful American client has chosen to base their entire Research and Development team in the Cape.  They have made huge investments in their CT office and are here to stay and grow...",Parvana,https://www.careers24.com/jobs/adverts/1628590-tech-lead-python-cape-town/?jobindex=13,"IT, Technology, Technical",Permanent,Cape Town,Market Related (Negotiable),2019-11-15
Systems Engineer (UNIX)," 									About the Client:
									
									Our client is an international highly successful software development house with a niche focus on the telecommunications and payment gateway sector.    With almost 20 years of track record, this company is ...",Parvana,https://www.careers24.com/jobs/adverts/1628589-systems-engineer-unix-cape-town-northern-suburbs/?jobindex=14,"IT, Technology, Technical",Permanent,Cape Town Northern Suburbs,Market Related (Negotiable),2019-11-15
SharePoint Consultant (Contract)," 									About the Client:
									
									Fabulous opportunity to work for one of the top consulting companies in the Belgium / Holland region. Work permits will be sponsored, you will be paid top local rates in Euros which will be determined by yo...",Parvana,https://www.careers24.com/jobs/adverts/1628588-sharepoint-consultant-contract-netherlands/?jobindex=15,"IT, Technology, Technical",Permanent,Netherlands,Market Related (Negotiable),2019-11-15
Service Desk Administrator," 									About the Client:
									
									Part owned by JSE listed entity, this organisation enjoys the stability of a large organisation but the freedom and entrepreneurial spirit of a start-up. They love new ideas and creativity, and are passiona...",Parvana,https://www.careers24.com/jobs/adverts/1628586-service-desk-administrator-cape-town-northern-suburbs/?jobindex=16,"IT, Technology, Technical",Permanent,Cape Town Northern Suburbs,Market Related (Negotiable),2019-11-15
Senior System Administrator," 									About the Client:
									
									Part owned by JSE listed entity, this organisation enjoys the stability of a large organisation but the freedom and entrepreneurial spirit of a start-up. They love new ideas and creativity, and are passiona...",Parvana,https://www.careers24.com/jobs/adverts/1628585-senior-system-administrator-cape-town-northern-suburbs/?jobindex=17,"IT, Technology, Technical",Permanent,Cape Town Northern Suburbs,Market Related (Negotiable),2019-11-15
Senior Java Developer (12 month contract)," 									About the Client:
									
									
									 
									 
									
									 *Please note: This job is in the process of being updated and is not 100% accurate.  Responsibilities:  	Analyze user and system requirements.  	Design flowcharts ...",Parvana,https://www.careers24.com/jobs/adverts/1628584-senior-java-developer-12-month-contract-cape-town/?jobindex=18,"IT, Technology, Technical",Permanent,Cape Town,Market Related (Negotiable),2019-11-15
Senior Java Developer," 									About the Client:
									
									Based in Somerset West, this global technology organization focuses on big and complex applications for large government projects.  A very secure and highly successful organization who prefer hiring perm st...",Parvana,https://www.careers24.com/jobs/adverts/1628583-senior-java-developer-western-cape/?jobindex=19,"IT, Technology, Technical",Permanent,Western Cape,Market Related (Negotiable),2019-11-15
Scrum Master (Contract)," 									About the Client:
									
									Fabulous opportunity to work for one of the top consulting companies in the Belgium / Holland region. Work permits will be sponsored, you will be paid top local rates in Euros which will be determined by yo...",Parvana,https://www.careers24.com/jobs/adverts/1628582-scrum-master-contract-belgium/?jobindex=20,"IT, Technology, Technical",Permanent,Belgium,Market Related (Negotiable),2019-11-15
SAP Manufacturing Consultant (Contract)," 									About the Client:
									
									Fabulous opportunity to work for one of the top consulting companies in the Belgium / Holland region. Work permits will be sponsored, you will be paid top local rates in Euros which will be determined by yo...",Parvana,https://www.careers24.com/jobs/adverts/1628581-sap-manufacturing-consultant-contract-netherlands/?jobindex=21,"IT, Technology, Technical",Permanent,Netherlands,Market Related (Negotiable),2019-11-15
SAP Logistics Consultant (Contract)," 									About the Client:
									
									Fabulous opportunity to work for one of the top consulting companies in the Belgium / Holland region. Work permits will be sponsored, you will be paid top local rates in Euros which will be determined by yo...",Parvana,https://www.careers24.com/jobs/adverts/1628580-sap-logistics-consultant-contract-netherlands/?jobindex=22,"IT, Technology, Technical",Permanent,Netherlands,Market Related (Negotiable),2019-11-15
SAP EWM Consultant (Contract)," 									About the Client:
									
									Fabulous opportunity to work for one of the top consulting companies in the Belgium / Holland region. Work permits will be sponsored, you will be paid top local rates in Euros which will be determined by yo...",Parvana,https://www.careers24.com/jobs/adverts/1628579-sap-ewm-consultant-contract-netherlands/?jobindex=23,"IT, Technology, Technical",Permanent,Netherlands,Market Related (Negotiable),2019-11-15
SAP BI Consultant (Contract)," 									About the Client:
									
									Fabulous opportunity to work for one of the top consulting companies in the Belgium / Holland region. Work permits will be sponsored, you will be paid top local rates in Euros which will be determined by yo...",Parvana,https://www.careers24.com/jobs/adverts/1628578-sap-bi-consultant-contract-netherlands/?jobindex=24,"IT, Technology, Technical",Permanent,Netherlands,Market Related (Negotiable),2019-11-15
QE Analyst," 									About the Client:
									
									Our client is an international software development company based just outside of Cape Town, South Africa.  They are leaders in authentication, app security, and payments enablement technology, offering a h...",Parvana,https://www.careers24.com/jobs/adverts/1628577-qe-analyst-cape-winelands/?jobindex=25,"IT, Technology, Technical",Permanent,Cape Winelands,Market Related (Negotiable),2019-11-15
QA Analyst (Automation) (JHB)," 									About the Client:
									
									Our client develops and supports software and data solutions across a variety of industries.  They want you to get ahead of the market and stay there. They offer a combination of plug and play products that...",Parvana,https://www.careers24.com/jobs/adverts/1628576-qa-analyst-automation-jhb-johannesburg/?jobindex=26,"IT, Technology, Technical",Permanent,Johannesburg,Market Related (Negotiable),2019-11-15
QA Analyst (Automation)," 									About the Client:
									
									Our client develops and supports software and data solutions across a variety of industries.  They want you to get ahead of the market and stay there. They offer a combination of plug and play products that...",Parvana,https://www.careers24.com/jobs/adverts/1628575-qa-analyst-automation-cape-town/?jobindex=27,"IT, Technology, Technical",Permanent,Cape Town,Market Related (Negotiable),2019-11-15
PYTHON Developer," 									About the Client:
									
									IT RECRUITMENT SPECIALISTS who focus on IT, Finance & Telco clients. They have offices in South Africa and the UK.  They are a highly skilled team that endeavours to provide a personal, efficient & value ad...",Parvana,https://www.careers24.com/jobs/adverts/1628574-python-developer-south-africa/?jobindex=28,"IT, Technology, Technical",Permanent,South Africa,Market Related (Negotiable),2019-11-15
Python Developer," 									About the Client:
									
									Fortunately for us, our wonderful American client has chosen to base their entire Research and Development team in the Cape.  They have made huge investments in their CT office and are here to stay and grow...",Parvana,https://www.careers24.com/jobs/adverts/1628573-python-developer-cape-town/?jobindex=29,"IT, Technology, Technical",Permanent,Cape Town,Market Related (Negotiable),2019-11-15
Project Manager (SDLC / Telco)," 									About the Client:
									
									This client looks for high achievers who wish to build a career at a top international IT company.  Their typical applicant should not just be looking for a job, but should be seeking a career filled with o...",Parvana,https://www.careers24.com/jobs/adverts/1628566-project-manager-sdlc-telco-johannesburg/?jobindex=30,"IT, Technology, Technical",Permanent,Johannesburg,Market Related (Negotiable),2019-11-15
Project Manager (Contract)," 									About the Client:
									
									Fabulous opportunity to work for one of the top consulting companies in the Belgium / Holland region. Work permits will be sponsored, you will be paid top local rates in Euros which will be determined by yo...",Parvana,https://www.careers24.com/jobs/adverts/1628564-project-manager-contract-belgium/?jobindex=31,"IT, Technology, Technical",Permanent,Belgium,Market Related (Negotiable),2019-11-15
Program Director (JHB) (Telco exp. essential)," 									About the Client:
									
									This client looks for high achievers who wish to build a career at a top international IT company.   Their typical applicant should not just be looking for a job, but should be seeking a career filled with ...",Parvana,https://www.careers24.com/jobs/adverts/1628563-program-director-jhb-telco-exp-essential-johannesburg/?jobindex=32,"IT, Technology, Technical",Permanent,Johannesburg,Market Related (Negotiable),2019-11-15
Oracle DBA," 									About the Client:
									
									Our client is an international highly successful software development house with a niche focus on the telecommunications and payment gateway sector.    With almost 20 years of track record, this company is ...",Parvana,https://www.careers24.com/jobs/adverts/1628560-oracle-dba-cape-town/?jobindex=33,"IT, Technology, Technical",Permanent,Cape Town,Market Related (Negotiable),2019-11-15
MPS Network Engineer (Contract)," 									About the Client:
									
									Our client is an international highly successful software development house with a niche focus on the telecommunications and payment gateway sector.    With almost 20 years of track record, this company is ...",Parvana,https://www.careers24.com/jobs/adverts/1628559-mps-network-engineer-contract-cape-town/?jobindex=34,"IT, Technology, Technical",Permanent,Cape Town,Market Related (Negotiable),2019-11-15
MPS IP Network Architect Engineer (DRC)," 									About the Client:
									
									Our client is an international highly successful software development house with a niche focus on the telecommunications and payment gateway sector.    With almost 20 years of track record, this company is ...",Parvana,https://www.careers24.com/jobs/adverts/1628558-mps-ip-network-architect-engineer-drc-democratic-republic-of-congo/?jobindex=35,"IT, Technology, Technical",Permanent,Democratic Republic of Congo,Market Related (Negotiable),2019-11-15
JavaScript Developer," 									About the Client:
									
									Fortunately for us, our wonderful American client has chosen to base their entire Research and Development team in the Cape.  They have made huge investments in their CT office and are here to stay and grow...",Parvana,https://www.careers24.com/jobs/adverts/1628557-javascript-developer-cape-town/?jobindex=36,"IT, Technology, Technical",Permanent,Cape Town,Market Related (Negotiable),2019-11-15
Java Developer," 									About the Client:
									
									IT RECRUITMENT SPECIALISTS who focus on IT, Finance & Telco clients. They have offices in South Africa and the UK.  They are a highly skilled team that endeavours to provide a personal, efficient & value ad...",Parvana,https://www.careers24.com/jobs/adverts/1628554-java-developer-south-africa/?jobindex=37,"IT, Technology, Technical",Permanent,South Africa,Market Related (Negotiable),2019-11-15
IT Architect (Contract)," 									About the Client:
									
									Fabulous opportunity to work for one of the top consulting companies in the Belgium / Holland region. Work permits will be sponsored, you will be paid top local rates in Euros which will be determined by yo...",Parvana,https://www.careers24.com/jobs/adverts/1628550-it-architect-contract-belgium/?jobindex=38,"IT, Technology, Technical",Permanent,Belgium,Market Related (Negotiable),2019-11-15
Integration Developer," 									About the Client:
									
									Part owned by JSE listed entity, this organisation enjoys the stability of a large organisation but the freedom and entrepreneurial spirit of a start-up. They love new ideas and creativity, and are passiona...",Parvana,https://www.careers24.com/jobs/adverts/1628549-integration-developer-cape-town-northern-suburbs/?jobindex=39,"IT, Technology, Technical",Permanent,Cape Town Northern Suburbs,Market Related (Negotiable),2019-11-15
Full Stack Engineer," 									About the Client:
									
									Fortunately for us, our wonderful American client has chosen to base their entire Research and Development team in the Cape.  They have made huge investments in their CT office and are here to stay and grow...",Parvana,https://www.careers24.com/jobs/adverts/1628548-full-stack-engineer-cape-town/?jobindex=40,"IT, Technology, Technical",Permanent,Cape Town,Market Related (Negotiable),2019-11-15
Full Stack Developer (Senior) (CPT)," 									About the Client:
									
									Our client develops and supports software and data solutions across a variety of industries.  They want you to get ahead of the market and stay there. They offer a combination of plug and play products that...",Parvana,https://www.careers24.com/jobs/adverts/1628546-full-stack-developer-senior-cpt-cape-town/?jobindex=41,"IT, Technology, Technical",Permanent,Cape Town,Market Related (Negotiable),2019-11-15
Front-End Developer," 									About the Client:
									
									Fortunately for us, our wonderful American client has chosen to base their entire Research and Development team in the Cape.  They have made huge investments in their CT office and are here to stay and grow...",Parvana,https://www.careers24.com/jobs/adverts/1628537-front-end-developer-cape-town/?jobindex=42,"IT, Technology, Technical",Permanent,Cape Town,Market Related (Negotiable),2019-11-15
Digital Project Manager (Contract)," 									About the Client:
									
									This client is involved and does extensive outsource work for blue-chip brands mostly in the UK and USA. They do have some local clients as well. The focus is on the corporate and academic sector were solut...",Parvana,https://www.careers24.com/jobs/adverts/1628536-digital-project-manager-contract-cape-town/?jobindex=43,"IT, Technology, Technical",Permanent,Cape Town,Market Related (Negotiable),2019-11-15
DevOps Engineer," 									About the Client:
									
									Our client is an international software development company based just outside of Cape Town, South Africa.  They are leaders in authentication, app security, and payments enablement technology, offering a h...",Parvana,https://www.careers24.com/jobs/adverts/1628535-devops-engineer-cape-winelands/?jobindex=44,"IT, Technology, Technical",Permanent,Cape Winelands,Market Related (Negotiable),2019-11-15
DevOps Engineer," 									About the Client:
									
									Our client is an international software development company based just outside of Cape Town, South Africa.  They are leaders in authentication, app security, and payments enablement technology, offering a h...",Parvana,https://www.careers24.com/jobs/adverts/1628534-devops-engineer-cape-town-northern-suburbs/?jobindex=45,"IT, Technology, Technical",Permanent,Cape Town Northern Suburbs,Market Related (Negotiable),2019-11-15
DevOps Engineer," 									About the Client:
									
									Fortunately for us, our wonderful American client has chosen to base their entire Research and Development team in the Cape.  They have made huge investments in their CT office and are here to stay and grow...",Parvana,https://www.careers24.com/jobs/adverts/1628533-devops-engineer-cape-town/?jobindex=46,"IT, Technology, Technical",Permanent,Cape Town,Market Related (Negotiable),2019-11-15
Development Manager," 									About the Client:
									
									Our national client offers a pleasant professional office working environment located in the Southern Suburbs. They promote a culture of continual learning and of sharing of knowledge with each other and th...",Parvana,https://www.careers24.com/jobs/adverts/1628532-development-manager-cape-town/?jobindex=47,"IT, Technology, Technical",Permanent,Cape Town,Market Related (Negotiable),2019-11-15
Developer/Consultant," 									About the Client:
									
									A top international company, with head offices in the UK and USA, this organisation is focussed on leading edge problem solving. Proven ability to find solutions to problems is essential combined with a str...",Parvana,https://www.careers24.com/jobs/adverts/1628531-developer-consultant-johannesburg/?jobindex=48,"IT, Technology, Technical",Permanent,Johannesburg,Market Related (Negotiable),2019-11-15
Developer/Consultant," 									About the Client:
									
									A top international company, with head offices in the UK and USA, this organisation is focussed on leading edge problem solving. Proven ability to find solutions to problems is essential combined with a str...",Parvana,https://www.careers24.com/jobs/adverts/1628530-developer-consultant-cape-town/?jobindex=49,"IT, Technology, Technical",Permanent,Cape Town,Market Related (Negotiable),2019-11-15
Developer - Ruby on Rails," 									About the Client:
									
									Our Client is a Mobile Applications company that has taken South Africa by storm and is fast becoming one of SA’s most loved applications. Technology is a key part to enabling their business and delighting ...",Parvana,https://www.careers24.com/jobs/adverts/1628529-developer-ruby-on-rails-cape-town-southern-suburbs/?jobindex=50,"IT, Technology, Technical",Permanent,Cape Town Southern Suburbs,Market Related (Negotiable),2019-11-15
Developer - Python / PHP (Intermediate)," 									About the Client:
									
									Our client is a fast-growing online business based in South Africa. They are obsessive about their high performance yet collaborative culture and are looking for leaders to join their dynamic team. They thi...",Parvana,https://www.careers24.com/jobs/adverts/1628528-developer-python-php-intermediate-cape-town/?jobindex=51,"IT, Technology, Technical",Permanent,Cape Town,Market Related (Negotiable),2019-11-15
Developer - Mobile (iOS / Android / Cordova)," 									About the Client:
									
									Our client is an international software development company based just outside of Cape Town, South Africa.  They are leaders in authentication, app security, and payments enablement technology, offering a h...",Parvana,https://www.careers24.com/jobs/adverts/1628527-developer-mobile-ios-android-cordova-cape-winelands/?jobindex=52,"IT, Technology, Technical",Permanent,Cape Winelands,Market Related (Negotiable),2019-11-15
Developer - JavaScript," 									About the Client:
									
									Our client is a global provider of digital marketing and client reporting tools that help asset managers attract and retain investor assets.  While rapidly expanding, their current office spread is across 4...",Parvana,https://www.careers24.com/jobs/adverts/1628526-developer-javascript-cape-town-southern-suburbs/?jobindex=53,"IT, Technology, Technical",Permanent,Cape Town Southern Suburbs,Market Related (Negotiable),2019-11-15
Developer - Java (Senior) (Contract)," 									About the Client:
									
									Fabulous opportunity to work for one of the top consulting companies in the Belgium / Holland region. Work permits will be sponsored, you will be paid top local rates in Euros which will be determined by yo...",Parvana,https://www.careers24.com/jobs/adverts/1628525-developer-java-senior-contract-belgium/?jobindex=54,"IT, Technology, Technical",Permanent,Belgium,Market Related (Negotiable),2019-11-15
Developer - Internship Role," 									About the Client:
									
									A genteel, highly professional and stable organisation, this client has grown steadily since the 1990’s without ever retrenching anyone. They hire for attitude and train for skill. Most staff have been ther...",Parvana,https://www.careers24.com/jobs/adverts/1628524-developer-internship-role-cape-town-northern-suburbs/?jobindex=55,"IT, Technology, Technical",Permanent,Cape Town Northern Suburbs,Market Related (Negotiable),2019-11-15
Developer - Internship Role," 									About the Client:
									
									Our client has a vacancy for a junior developer to join their team with the opportunity to learn and grow into the role
									 
									 
									
									Main Role:   	Our client is looking for a Dev...",Parvana,https://www.careers24.com/jobs/adverts/1628523-developer-internship-role-johannesburg/?jobindex=56,"IT, Technology, Technical",Permanent,Johannesburg,Market Related (Negotiable),2019-11-15
Developer - Full Stack (Mobile)," 									About the Client:
									
									Our Client is a Mobile Applications company that has taken South Africa by storm and is fast becoming one of SA’s most loved applications. Technology is a key part to enabling their business and delighting ...",Parvana,https://www.careers24.com/jobs/adverts/1628522-developer-full-stack-mobile-cape-town/?jobindex=57,"IT, Technology, Technical",Permanent,Cape Town,Market Related (Negotiable),2019-11-15
Developer - Front-end (Senior) (L2)," 									About the Client:
									
									
									 
									 
									
									Responsibilities:   	Commercial Awareness: 	 		Detailed understanding of relevant customers business functions and the role your products play in realising business...",Parvana,https://www.careers24.com/jobs/adverts/1628521-developer-front-end-senior-l2-cape-town-northern-suburbs/?jobindex=58,"IT, Technology, Technical",Permanent,Cape Town Northern Suburbs,Market Related (Negotiable),2019-11-15
Developer - Front-End," 									About the Client:
									
									Our client has a highly engaged team of engineers, software developers, administration personnel and a leadership team held in high regard by its's employees.  They continue to grow steadily and now need to...",Parvana,https://www.careers24.com/jobs/adverts/1628520-developer-front-end-cape-town-northern-suburbs/?jobindex=59,"IT, Technology, Technical",Permanent,Cape Town Northern Suburbs,Market Related (Negotiable),2019-11-15
Developer - C# / .Net (Senior)," 									About the Client:
									
									This client looks for high achievers who wish to build a career at a top international IT company.   Their typical applicant should not just be looking for a job, but should be seeking a career filled with ...",Parvana,https://www.careers24.com/jobs/adverts/1628518-developer-c-net-senior-cape-town/?jobindex=60,"IT, Technology, Technical",Permanent,Cape Town,Market Related (Negotiable),2019-11-15
Developer - C# (Web) (CPT)," 									About the Client:
									
									They are an established company looking to add to their experienced team of vibrant and dynamic people that are passionate about the products and solutions they locally build and offer to their customers.  ...",Parvana,https://www.careers24.com/jobs/adverts/1628516-developer-c-web-cpt-cape-town/?jobindex=61,"IT, Technology, Technical",Permanent,Cape Town,Market Related (Negotiable),2019-11-15
Developer - C# (MVC)," 									About the Client:
									
									Our client offers financial and credit management products to help their clients with credit vetting, loans, debtors, payment processing, tracing and client administration.
									 
									 
									
	...",Parvana,https://www.careers24.com/jobs/adverts/1628515-developer-c-mvc-cape-town-northern-suburbs/?jobindex=62,"IT, Technology, Technical",Permanent,Cape Town Northern Suburbs,Market Related (Negotiable),2019-11-15
Developer - Back-End (C++ / Java)," 									About the Client:
									
									Our client is an international software development company based just outside of Cape Town, South Africa.  They are leaders in authentication, app security, and payments enablement technology, offering a h...",Parvana,https://www.careers24.com/jobs/adverts/1628514-developer-back-end-c-java-cape-winelands/?jobindex=63,"IT, Technology, Technical",Permanent,Cape Winelands,Market Related (Negotiable),2019-11-15
Developer - .Net (Full Stack)," 									About the Client:
									
									Our client has a highly engaged team of engineers, software developers, administration personnel and a leadership team held in high regard by its's employees.  They continue to grow steadily and now need to...",Parvana,https://www.careers24.com/jobs/adverts/1628513-developer-net-full-stack-cape-town-northern-suburbs/?jobindex=64,"IT, Technology, Technical",Permanent,Cape Town Northern Suburbs,Market Related (Negotiable),2019-11-15
Developer - .Net," 									About the Client:
									
									Our client has a highly engaged team of engineers, software developers, administration personnel and a leadership team held in high regard by its's employees.  They continue to grow steadily and now need to...",Parvana,https://www.careers24.com/jobs/adverts/1628512-developer-net-cape-town-northern-suburbs/?jobindex=65,"IT, Technology, Technical",Permanent,Cape Town Northern Suburbs,Market Related (Negotiable),2019-11-15
Delivery Manager (Senior) (Telco essential)," 									About the Client:
									
									This client looks for high achievers who wish to build a career at a top international IT company.   Their typical applicant should not just be looking for a job, but should be seeking a career filled with ...",Parvana,https://www.careers24.com/jobs/adverts/1628511-delivery-manager-senior-telco-essential-johannesburg/?jobindex=66,"IT, Technology, Technical",Permanent,Johannesburg,Market Related (Negotiable),2019-11-15
Commercial and Relationship Manager (Finance)," 									About the Client:
									
									Part owned by JSE listed entity, this organisation enjoys the stability of a large organisation but the freedom and entrepreneurial spirit of a start-up. They love new ideas and creativity, and are passiona...",Parvana,https://www.careers24.com/jobs/adverts/1628510-commercial-and-relationship-manager-finance-cape-town-northern-suburbs/?jobindex=67,"IT, Technology, Technical",Permanent,Cape Town Northern Suburbs,Market Related (Negotiable),2019-11-15
Client Services Manager (Lending) (JHB)," 									About the Client:
									
									A genteel, highly professional and stable organisation, this client has grown steadily since the 1990’s without ever retrenching anyone. They hire for attitude and train for skill. Most staff have been ther...",Parvana,https://www.careers24.com/jobs/adverts/1628509-client-services-manager-lending-jhb-johannesburg/?jobindex=68,"IT, Technology, Technical",Permanent,Johannesburg,Market Related (Negotiable),2019-11-15
Client Services Manager (Employee Benefits) (JHB)," 									About the Client:
									
									Our client has grown steadily since the 1990s and no staff has ever been retrenched.   The focus on growth and stability remains of utmost importance to the directors, managing the business in a responsible...",Parvana,https://www.careers24.com/jobs/adverts/1628508-client-services-manager-employee-benefits-jhb-gauteng/?jobindex=69,"IT, Technology, Technical",Permanent,Gauteng,Market Related (Negotiable),2019-11-15
Client Relationship Manager," 									About the Client:
									
									Part owned by JSE listed entity, this organisation enjoys the stability of a large organisation but the freedom and entrepreneurial spirit of a start-up. They love new ideas and creativity, and are passiona...",Parvana,https://www.careers24.com/jobs/adverts/1628507-client-relationship-manager-cape-town/?jobindex=70,"IT, Technology, Technical",Permanent,Cape Town,Market Related (Negotiable),2019-11-15
Client Principal," 									About the Client:
									
									Our client is an award-winning IT Professional Services Consultancy, with over 700 people working in the UK, US, Canada, Portugal, India, Australia and South Africa. They believe happy teams make better sof...",Parvana,https://www.careers24.com/jobs/adverts/1628506-client-principal-cape-town/?jobindex=71,"IT, Technology, Technical",Permanent,Cape Town,Market Related (Negotiable),2019-11-15
C# Programmer," 									About the Client:
									
									IT RECRUITMENT SPECIALISTS who focus on IT, Finance & Telco clients. They have offices in South Africa and the UK.  They are a highly skilled team that endeavours to provide a personal, efficient & value ad...",Parvana,https://www.careers24.com/jobs/adverts/1628505-c-programmer-south-africa/?jobindex=72,"IT, Technology, Technical",Permanent,South Africa,Market Related (Negotiable),2019-11-15
Business Assurance / Analyst," 									About the Client:
									
									We are looking for a Business Analyst with a strong logical ability, a systematic thinking approach, and a high attention to detail, that can investigate and solve problems on the fly.
									 
									 ...",Parvana,https://www.careers24.com/jobs/adverts/1628504-business-assurance-analyst-cape-town-northern-suburbs/?jobindex=73,"IT, Technology, Technical",Permanent,Cape Town Northern Suburbs,Market Related (Negotiable),2019-11-15
Business Analyst (Senior) (Contract)," 									About the Client:
									
									Fabulous opportunity to work for one of the top consulting companies in the Belgium / Holland region. Work permits will be sponsored, you will be paid top local rates in Euros which will be determined by yo...",Parvana,https://www.careers24.com/jobs/adverts/1628502-business-analyst-senior-contract-belgium/?jobindex=74,"IT, Technology, Technical",Permanent,Belgium,Market Related (Negotiable),2019-11-15
Business Analyst (Senior)," 									About the Client:
									
									Part owned by JSE listed entity, this organisation enjoys the stability of a large organisation but the freedom and entrepreneurial spirit of a start-up. They love new ideas and creativity, and are passiona...",Parvana,https://www.careers24.com/jobs/adverts/1628501-business-analyst-senior-cape-town/?jobindex=75,"IT, Technology, Technical",Permanent,Cape Town,Market Related (Negotiable),2019-11-15
Business Analyst (Junior)," 									About the Client:
									
									Our client has a highly engaged team of engineers, software developers, administration personnel and a leadership team held in high regard by its's employees.  They continue to grow steadily and now need to...",Parvana,https://www.careers24.com/jobs/adverts/1628500-business-analyst-junior-cape-town-northern-suburbs/?jobindex=76,"IT, Technology, Technical",Permanent,Cape Town Northern Suburbs,Market Related (Negotiable),2019-11-15
