Skill,Category
Smalltalk,coding
SML,coding
Snap!,coding
SNOBOL,coding
Snowball,coding
SOL,coding
SP/k,coding
Span,coding
SPARK,coding
SPIN,coding
SPITBOL,coding
SQL,coding
Squeak,coding
Squirrel,coding
SR,coding
Stackless Python,coding
Starlogo,coding
Stata,coding
Stateflow,coding
Strand,coding
Subtext,coding
SuperCollider,coding
SuperTalk,coding
Swift (Apple programming language),coding
Swift (parallel scripting language),coding
SYMPL,coding
SyncCharts,coding
SystemVerilog,coding
T,coding
T-SQL,coding
TACL,coding
TACPOL,coding
TADS,coding
TAL,coding
Tcl,coding
Tea,coding
TECO,coding
TELCOMP,coding
Tensorflow,coding
TeX,coding
TIE,coding
Timber,coding
TMG,coding
Tom,coding
Topspeed,coding
Torch,coding
TPU,coding
Trac,coding
TTCN,coding
TTM,coding
Turbo C++,coding
Turing,coding
TUTOR,coding
TXL,coding
TypeScript,coding
Ubercode,coding
UCSD Pascal,coding
Umple,coding
Unicon,coding
Uniface,coding
UNITY,coding
Unix shell,coding
UnrealScript,coding
Vala,coding
VBA,coding
VBScript,coding
Verilog,coding
VHDL,coding
Visual Basic,coding
Visual Basic .NET,coding
Visual DataFlex,coding
Visual DialogScript,coding
Visual Fortran,coding
Visual FoxPro,coding
Visual J#,coding
Visual J++,coding
Visual Objects,coding
Visual Prolog,coding
VSXu,coding
Vvvv,coding
"WATFIV, WATFOR",coding
Watson Studio,coding
WebDNA,coding
WebQL,coding
Weka,coding
Winbatch,coding
Wolfram,coding
Wyvern,coding
X#,coding
X++,coding
X10,coding
XBL,coding
XC,coding
xHarbour,coding
XL,coding
XML,coding
XMOS architecture,coding
Xojo,coding
XOTcl,coding
XPath,coding
XPL,coding
XPL0,coding
XQuery,coding
XSB,coding
XSLT,coding
Xtend,coding
Yorick,coding
YQL,coding
Z notation,coding
Zeno,coding
ZOPL,coding
ZPL,coding
Selenium,coding
MSSQL,coding
Katalon,coding
Hadoop,coding
GraphQL,coding
Google Big Query,coding
Rest API,coding
ACI,platforms
Acrobat,platforms
Adobe,platforms
ADP,platforms
Allscripts,platforms
Amazon,platforms
Android,platforms
ANSYS,platforms
Apache,platforms
Apple,platforms
Athenahealth,platforms
Attachmate,platforms
Autodesk,platforms
Avaya,platforms
AWS,platforms
Bentley,platforms
Blackboard,platforms
BMC,platforms
CA Technologies,platforms
Cadence Design Systems,platforms
Canonical,platforms
Cerner,platforms
Chrome,platforms
Cisco,platforms
Citrix,platforms
CommVault,platforms
Concur,platforms
Constellation Software,platforms
Convergys,platforms
Cpanel,platforms
Dassault,platforms
Dassault Systemes,platforms
DATEV,platforms
Debian,platforms
Debian Linux,platforms
Dell,platforms
Drupal,platforms
Edge,platforms
EMC,platforms
Enterprise Linux,platforms
Enterprise Linux Desktop,platforms
Enterprise Linux Server,platforms
Enterprise Linux Workstation,platforms
Epic Systems,platforms
Epicor,platforms
ESET,platforms
Esri,platforms
F5,platforms
Fedora,platforms
Fedoraproject,platforms
Ffmpeg,platforms
FICO,platforms
Firefox,platforms
Firefox Esr,platforms
FIS,platforms
Fiserv,platforms
Flash Player,platforms
Foxitsoftware,platforms
Freebsd,platforms
Fujitsu,platforms
GE Healthcare,platforms
Genesys,platforms
GNU,platforms
Google,platforms
Google AI,platforms
GSuite,platforms
Hexagon,platforms
Hitachi,platforms
HP,platforms
Huawei,platforms
IBM,platforms
IE,platforms
Imagemagick,platforms
Indesign,platforms
Infor,platforms
Informatica,platforms
Intel,platforms
Internet Explorer,platforms
InterSystems,platforms
Intuit,platforms
Iphone Os,platforms
Itunes,platforms
JDA Software,platforms
JDK,platforms
Jenkins,platforms
Joomla,platforms
JRE,platforms
Juniper,platforms
Kaggle,platforms
Kaspersky,platforms
Kaspersky Lab,platforms
Kronos,platforms
Leap,platforms
Linux,platforms
Linux Kernel,platforms
Mac Os X,platforms
Mac Os X Server,platforms
Mcafee,platforms
McKesson,platforms
MEDITECH,platforms
Mentor Graphics,platforms
Micro Focus,platforms
Micros Systems,platforms
Microsoft,platforms
MicroStrategy,platforms
Misys,platforms
Moodle,platforms
Mozilla,platforms
Mysql,platforms
NCR,platforms
NEC,platforms
Netapp,platforms
NetSuite,platforms
Neusoft,platforms
Novell,platforms
Nuance Communications,platforms
Openbsd,platforms
Opensuse,platforms
OpenText,platforms
Opera,platforms
Optum,platforms
Oracle,platforms
Palantir,platforms
Pegasystems,platforms
Photoshop,platforms
Phpmyadmin,platforms
Pitney Bowes,platforms
PTC,platforms
Qemu,platforms
Qlik,platforms
Qualcomm,platforms
Red Hat,platforms
Safari,platforms
Sage,platforms
Salesforce,platforms
SAP,platforms
Schneider Electric,platforms
Seamonkey,platforms
ServiceNow,platforms
SGI,platforms
Siemens,platforms
Software AG,platforms
Solaris,platforms
SolarWinds,platforms
Splunk,platforms
SUN,platforms
SunGard,platforms
Sunos,platforms
Suse,platforms
SWIFT,platforms
Symantec,platforms
Synopsys,platforms
Tableau,platforms
Teradata,platforms
Thunderbird,platforms
TIBCO,platforms
TOTVS,platforms
Trend Micro,platforms
Ubuntu,platforms
Ultimate Software,platforms
Unit4,platforms
Verint,platforms
Visma,platforms
Visual Studio,platforms
Vmware,platforms
Watchos,platforms
Wincor Nixdorf,platforms
Windows 10,platforms
Windows 2000,platforms
Windows 7,platforms
Windows 8.1,platforms
Windows Rt 8.1,platforms
Windows Server 2008,platforms
Windows Server 2012,platforms
Windows Server 2016,platforms
Windows Vista,platforms
Windows Xp,platforms
Wireshark,platforms
Wolters Kluwer,platforms
Wordpress,platforms
Workday,platforms
XEN,platforms
Sketchapp,platforms
A/B Testing,techniques
Accessibility,techniques
activation function,techniques
AdaBoost,techniques
adam optimization,techniques
adaptive gradient,techniques
Agile,techniques
aiops,techniques
alexnet,techniques
algorithm,techniques
AngularJS,techniques
Anomaly Detection,techniques
Apache Spark,techniques
apha testing,techniques
application lifecycle,techniques
Apriori,techniques
Information architecture,techniques
Data architecture,techniques
Network architecture,techniques
System architecture,techniques
Artificial Neural Networks,techniques
association rule learning,techniques
AutoEncoder,techniques
average pooling,techniques
backpropagation,techniques
Backward Feature Elemination,techniques
Bagging,techniques
batch gradient,techniques
batch normalization,techniques
Bayes' Theorem,techniques
Bayesian Linear Regression,techniques
Bayesian network,techniques
Bernoulli Naive Bayes,techniques
beta testing,techniques
bias,techniques
binomial distribution,techniques
boltzmann,techniques
Boltzmann Machine,techniques
Boosted Decision Tree,techniques
Bootstrap aggregation,techniques
brach gradient descent,techniques
Bulk data,techniques
CatBoost,techniques
Category Boosting,techniques
chi-square test,techniques
classification,techniques
classification algorithm,techniques
classifier,techniques
classigication algorithms,techniques
cloud,techniques
clustering,techniques
cnn,techniques
coefficient,techniques
computational linguistics,techniques
conceptnet,techniques
confidence interval,techniques
continuous variable,techniques
convolutional neural network,techniques
correlation,techniques
cost function,techniques
covariance,techniques
Cross Validation,techniques
D3,techniques
daemon processes,techniques
Data access,techniques
data delivery,techniques
data discovery,techniques
data driven decision making,techniques
data driven design,techniques
data engineering,techniques
data entry,techniques
Data format conversion,techniques
Data Integration,techniques
data lake,techniques
Data mining,techniques
data science,techniques
data server,techniques
data storytelling,techniques
data strategy,techniques
data structure,techniques
Data visualisation,techniques
Data Visualization,techniques
Data Viz,techniques
data wrangling,techniques
Database servers,techniques
dataops,techniques
DBN,techniques
DBSCAN,techniques
debugging,techniques
Decision Stump,techniques
Decision Tree,techniques
Deep Belief Network,techniques
deep learning,techniques
deep neural network,techniques
dependent variable,techniques
derivative,techniques
design principle,techniques
design sprint,techniques
design thinking,techniques
dev sprint,techniques
development sprint,techniques
devops,techniques
dimension reduction,techniques
Dimensionality Reduction,techniques
discrete variable,techniques
docker container,techniques
dropout,techniques
dual track development,techniques
Eclat,techniques
econometrics,techniques
Elastic Net Regression,techniques
Elastic Net Regularization,techniques
end-to-end learning,techniques
epoch,techniques
Expectation Maximization,techniques
explainable ai,techniques
extreme gradiant boosting,techniques
Extremely Randomized Trees,techniques
Factor Analysis,techniques
Fast-MCD,techniques
feature engineering,techniques
Feature Extraction,techniques
Fisher's Linear Discriminant,techniques
Forward Feature Selection,techniques
fully-connected layer,techniques
Fuzzy C-Means,techniques
Fuzzy K-Modes,techniques
GANs,techniques
GATE,techniques
gated recurrent unit,techniques
Gaussian Mixture Model,techniques
Gaussian Naive Bayes,techniques
Generative Adversarial Networks,techniques
Geographic Information System,techniques
Geographical information systems,techniques
GMM,techniques
gpu acceleration,techniques
Gradient Boosted Regression Trees,techniques
gradient boosting,techniques
gradient descent,techniques
Gradient Descent Regression,techniques
Hierarchical Clustering,techniques
histogram,techniques
Hopfield Networks,techniques
Hyperparameter,techniques
hyperparametrisation,techniques
hyperparametrization,techniques
Idle-time data analysis,techniques
imagenet,techniques
Independent Component Analysis,techniques
independent variable,techniques
Isolation Forest,techniques
Isomap,techniques
iteration,techniques
K Nearest Neighbours,techniques
k-means clustering,techniques
K-Medians Clustering,techniques
K-Modes Clustering,techniques
k-nearest neighbors,techniques
keras,techniques
kernels,techniques
knn,techniques
knowledge engineering,techniques
L2,techniques
LARS,techniques
Lasso Regression,techniques
Latent Dirichlet Analysis,techniques
latent variable,techniques
layer-wise relevance propagaion,techniques
LDA,techniques
learning rate decay,techniques
Learning Vector Quantization,techniques
Least absoulute selection and shrinkage operator,techniques
Least-Angled Regression,techniques
lift,techniques
lime,techniques
linear algebra,techniques
Linear Discriminant Analysis,techniques
linear regression,techniques
Linear Support Vector Classifier,techniques
LLE,techniques
local interpretable model-agnostic explanation,techniques
Local Linear Embedding,techniques
Local Outlier Factor,techniques
Locality-Sensitive Hashing,techniques
Locally Estimated Scatterplot Smoothing,techniques
Locally Weighted Regression,techniques
LOESS,techniques
LOF,techniques
logarithm,techniques
logistic regression,techniques
long short term memory,techniques
lrp,techniques
lstm,techniques
LVQ,techniques
LWL,techniques
machine learning,techniques
machine learning in production,techniques
machine learning model,techniques
Markov Chain,techniques
MARS,techniques
maximum pooling,techniques
MDA,techniques
Mean Absolute Error,techniques
Mean Shift Clustering,techniques
Mean Squared Error,techniques
mindmap,techniques
Mini Batch K-Means Clustering,techniques
mini-batch,techniques
Minimum Spanning Trees,techniques
minimum viable product,techniques
mlops,techniques
Mobile Analytics,techniques
Mobile Computing,techniques
model decay,techniques
Model Selection,techniques
Monte Carlo method,techniques
Multidimensional Scaling,techniques
Multilayer Perceptron,techniques
Multinomial Naive Bayes,techniques
Multivariate Adaptive Regression Splines,techniques
mvp,techniques
mxnet,techniques
n-gram,techniques
Naive Bayes,techniques
naive Bayes classifier,techniques
Natural Language Processing,techniques
neural network,techniques
Neural Network Regression,techniques
NLP,techniques
non-max suppression,techniques
Non-relational database,techniques
normal distribution,techniques
null hypothesis,techniques
Numpy,techniques
NuSVC,techniques
objective function,techniques
OLS,techniques
Once Class SVM,techniques
One Rule,techniques
OneR,techniques
OpenCV,techniques
operating system,techniques
Optimisation,techniques
Ordinal Regression,techniques
Ordinary Least Squares,techniques
outlier,techniques
outlier detection,techniques
overfitting,techniques
P value,techniques
PageRank,techniques
Pandas,techniques
Partial Least Squares Regression,techniques
PCA,techniques
PCA-Based Anomaly Detection,techniques
PCR,techniques
perceptron,techniques
pivot table,techniques
PLSR,techniques
Poisson distribution,techniques
Poisson Regression,techniques
Polynomial Regression,techniques
posterior distribution,techniques
predictive analytics,techniques
predictive modeling,techniques
Principal Component Regression,techniques
Principal Components Analysis,techniques
prior distribution,techniques
probability distribution,techniques
prototype,techniques
QDA,techniques
Quadratic Discriminant Analysis,techniques
Quality Threshold,techniques
Quantile Regression,techniques
quick prototyping,techniques
random forest,techniques
randomized trees,techniques
RBM,techniques
RDA,techniques
recurrent neural network,techniques
regression,techniques
regression analysis,techniques
regularization,techniques
Regularized Discriminant Analysis,techniques
reinforcement learning,techniques
Relational database management,techniques
relu,techniques
Restricted Boltzmann Machine,techniques
Ridge Regression,techniques
Ridge Regularization,techniques
rmsprop,techniques
rnn,techniques
Root Mean Squared Error,techniques
root mean squared propagation,techniques
S curve,techniques
Sammon Mapping,techniques
scalar,techniques
Scipy,techniques
scripting,techniques
Scrum,techniques
serial correlation,techniques
sgd,techniques
shell,techniques
Singular Value Decomposition,techniques
softmax,techniques
spatiotemporal data,techniques
Spectral Clustering,techniques
Stacked Autoencoder,techniques
Stacked Generalization,techniques
Stacking,techniques
standard deviation,techniques
standard normal distribution,techniques
standardized score,techniques
statistical,techniques
Stepwise Regression,techniques
Stochastic Gradient Descent,techniques
Subset Selection,techniques
supervised learning,techniques
support vector machine,techniques
Support Vector Regression,techniques
survey,techniques
svc,techniques
SVD,techniques
svm,techniques
System Administration,techniques
system component,techniques
System management,techniques
systems,techniques
t-Distributed Stochastic Neighbor Embedding,techniques
t-distribution,techniques
t-SNE,techniques
tell stories with data,techniques
tell story with data,techniques
Tensor,techniques
Test Set,techniques
testing,techniques
Theano,techniques
tidyverse,techniques
time series data,techniques
tracking,techniques
Training Set,techniques
travelling salesman,techniques
ui,techniques
UI & UX,techniques
UIMA,techniques
unsupervised learning,techniques
usability,techniques
user centric design,techniques
user experience,techniques
user flow,techniques
user persona,techniques
user stories,techniques
ux,techniques
Validation Set,techniques
vanishing gradients,techniques
variance,techniques
vector,techniques
vector space,techniques
vgg-16,techniques
Voting Classifier,techniques
Windowing system servers,techniques
wireframe,techniques
xavier initialization,techniques
XGBoost,techniques
yolo,techniques
Zero Rule,techniques
ZeroR,techniques
Predictive model,techniques
credit scoring,techniques
functional programming,techniques
Object oriented,techniques
Object orientation,techniques
High fidelity design,techniques
